REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S4D1,ELCNPLXX02,2065,58.063912
GLOBAL,S4D1,ELCNPLXX02,2066,60.065575
GLOBAL,S4D1,ELCNPLXX02,2067,62.067238
GLOBAL,S4D1,ELCNPLXX02,2068,64.068902
GLOBAL,S4D1,ELCNPLXX02,2069,66.07069
GLOBAL,S4D1,ELCNPLXX02,2070,68.072353
GLOBAL,S4D2,ELCNPLXX02,2020,4.7675548
GLOBAL,S4D2,ELCNPLXX02,2021,5.3964992
GLOBAL,S4D2,ELCNPLXX02,2022,6.0254437
GLOBAL,S4D2,ELCNPLXX02,2023,6.6543882
GLOBAL,S4D2,ELCNPLXX02,2024,7.2833326
GLOBAL,S4D2,ELCNPLXX02,2025,7.9122771
GLOBAL,S4D2,ELCNPLXX02,2026,8.6518151
GLOBAL,S4D2,ELCNPLXX02,2027,9.3913414
GLOBAL,S4D2,ELCNPLXX02,2028,10.130868
GLOBAL,S4D2,ELCNPLXX02,2029,10.870406
GLOBAL,S4D2,ELCNPLXX02,2030,11.609932
GLOBAL,S4D2,ELCNPLXX02,2031,12.446613
GLOBAL,S4D2,ELCNPLXX02,2032,13.283189
GLOBAL,S4D2,ELCNPLXX02,2033,14.119765
GLOBAL,S4D2,ELCNPLXX02,2034,14.956457
GLOBAL,S4D2,ELCNPLXX02,2035,15.793033
GLOBAL,S4D2,ELCNPLXX02,2036,16.726588
GLOBAL,S4D2,ELCNPLXX02,2037,17.660142
GLOBAL,S4D2,ELCNPLXX02,2038,18.593697
GLOBAL,S4D2,ELCNPLXX02,2039,19.527134
GLOBAL,S4D2,ELCNPLXX02,2040,20.460689
GLOBAL,S4D2,ELCNPLXX02,2041,21.477737
GLOBAL,S4D2,ELCNPLXX02,2042,22.494785
GLOBAL,S4D2,ELCNPLXX02,2043,23.511833
GLOBAL,S4D2,ELCNPLXX02,2044,24.528881
GLOBAL,S4D2,ELCNPLXX02,2045,25.545929
GLOBAL,S4D2,ELCNPLXX02,2046,26.672034
GLOBAL,S4D2,ELCNPLXX02,2047,27.798257
GLOBAL,S4D2,ELCNPLXX02,2048,28.924362
GLOBAL,S4D2,ELCNPLXX02,2049,30.050585
GLOBAL,S4D2,ELCNPLXX02,2050,31.176808
GLOBAL,S4D2,ELCNPLXX02,2051,32.594202
GLOBAL,S4D2,ELCNPLXX02,2052,34.011596
GLOBAL,S4D2,ELCNPLXX02,2053,35.42899
GLOBAL,S4D2,ELCNPLXX02,2054,36.846502
GLOBAL,S4D2,ELCNPLXX02,2055,38.263896
GLOBAL,S4D2,ELCNPLXX02,2056,39.835143
GLOBAL,S4D2,ELCNPLXX02,2057,41.406507
GLOBAL,S4D2,ELCNPLXX02,2058,42.977754
GLOBAL,S4D2,ELCNPLXX02,2059,44.549119
GLOBAL,S4D2,ELCNPLXX02,2060,46.120366
GLOBAL,S4D2,ELCNPLXX02,2061,47.844763
GLOBAL,S4D2,ELCNPLXX02,2062,49.569159
GLOBAL,S4D2,ELCNPLXX02,2063,51.293556
GLOBAL,S4D2,ELCNPLXX02,2064,53.018069
GLOBAL,S4D2,ELCNPLXX02,2065,54.742466
GLOBAL,S4D2,ELCNPLXX02,2066,56.629628
GLOBAL,S4D2,ELCNPLXX02,2067,58.516789
GLOBAL,S4D2,ELCNPLXX02,2068,60.403951
GLOBAL,S4D2,ELCNPLXX02,2069,62.29123
GLOBAL,S4D2,ELCNPLXX02,2070,64.178392
